"","prop_sampled","sim_num","method","(Intercept)","age","age_sq"
"1",0.324,1,"none",0.975880307371042,0.0133915256682742,5.04034902853675e-06
"2",0.324,1,"rake",0.15222991830864,0.07286707787427,1.27278380478366e-06
"3",0.324,1,"strat",0.912461474023933,0.000837663006786215,5.36974691225297e-11
"4",0.324,1,"calib",1.90366030745251e-05,0.0395039471223788,0.731076104252706
"5",0.324,1,"lasso",0.989599510575727,0.0120916079101285,3.35708159576703e-06
"6",0.324,1,"logit",0.40567495179828,0.0127393191630853,2.08561964226379e-08
"7",0.324,1,"bart",4.48964834824718e-06,0.147332235504675,0.144996524584317
"8",0.324,2,"none",0.877688340483744,0.00930683635748997,3.64977573386065e-06
"9",0.324,2,"rake",0.206848262729051,0.0399236714187273,1.98697349112442e-07
"10",0.324,2,"strat",0.00294401463535504,0.838856133432992,0.00167730206778892
"11",0.324,2,"calib",0.396054858213596,0.0775487504910792,0.000117343499464398
"12",0.324,2,"lasso",0.82914460397464,0.00762172528372733,2.34361403297151e-06
"13",0.324,2,"logit",8.97412014185459e-08,0.0545228267772191,0.178581741278256
"14",0.324,2,"bart",0.149768961486182,0.0419158680082847,1.25080940827165e-07
"15",0.324,3,"none",0.341477515033793,0.000885926720595548,1.25301815584457e-07
"16",0.324,3,"rake",0.755464875564123,0.00037028140918634,3.55525148230354e-11
"17",0.324,3,"strat",0.464633358401437,3.99623034273882e-05,3.99483397175477e-13
"18",0.324,3,"calib",3.22443719332449e-05,1.22758906653809e-11,8.37102981755816e-19
"19",0.324,3,"lasso",0.435644499272036,0.000841564852593604,4.46304094844045e-08
"20",0.324,3,"logit",0.726716153835464,0.000297790652618226,2.40099857809413e-11
"21",0.324,3,"bart",3.01851612220359e-07,1.11418545224318e-17,7.6995104769712e-32
"22",0.324,4,"none",0.737425426827157,0.00664620572534646,2.85340455073029e-06
"23",0.324,4,"rake",0.767125981332463,0.000147617277665935,1.09079334779883e-12
"24",0.324,4,"strat",0.846108972507403,0.000467485131092928,5.18289877701401e-11
"25",0.324,4,"calib",0.741830153806061,0.0477236190033312,0.00017191691330843
"26",0.324,4,"lasso",0.951322667463541,0.012022869617534,4.33834301119063e-06
"27",0.324,4,"logit",0.00387444366877279,0.637068308508848,0.000272679100083573
"28",0.324,4,"bart",0.825588613856476,0.000185049283472684,2.13231919224451e-12
"29",0.324,5,"none",0.203347667050089,0.00017179796299945,5.45723858963816e-09
"30",0.324,5,"rake",7.37813849140425e-14,4.4127342008426e-05,0.418500182375368
"31",0.324,5,"strat",4.64538658892823e-06,0.194657944995037,0.0764317376268208
"32",0.324,5,"calib",0.0392965435023961,8.29712318500593e-06,2.45643418638927e-10
"33",0.324,5,"lasso",0.22250629388782,0.000178518139953521,4.34144150490788e-09
"34",0.324,5,"logit",3.79752563055133e-27,5.60354131085069e-13,0.000183956910840151
"35",0.324,5,"bart",0.0266507151532684,0.251848858446586,1.84355630919913e-05
"36",0.324,6,"none",0.853149814350412,0.0281243950675414,3.11828487802442e-05
"37",0.324,6,"rake",0.00504626398867544,0.937465523186731,0.0166731516146426
"38",0.324,6,"strat",0.00695296536340387,0.90703648867865,0.00803743806532366
"39",0.324,6,"calib",0.199227940955608,0.000156985369608471,9.98098828239205e-09
"40",0.324,6,"lasso",0.60092540602439,0.0619141928363231,9.18684822420598e-05
"41",0.324,6,"logit",8.56177602537885e-06,0.159980115514564,0.166132937089714
"42",0.324,6,"bart",0.0633683994151,0.389409587824965,0.00105150510640495
"43",0.324,7,"none",0.680682343674967,0.00377854866483605,7.30567423900061e-07
"44",0.324,7,"rake",0.881913086297896,0.0013970157901355,2.07742306027082e-10
"45",0.324,7,"strat",0.00836202665026175,0.502199693090747,0.000178047857231829
"46",0.324,7,"calib",4.59362648530738e-07,4.18509979926804e-14,3.07357116456129e-21
"47",0.324,7,"lasso",0.554661052014155,0.00161065731013216,8.86763205882327e-08
"48",0.324,7,"logit",0.554677015169868,4.02153028674176e-05,1.29385278761063e-13
"49",0.324,7,"bart",0.0247452345421524,0.232310775349213,1.13387827106809e-05
"50",0.324,8,"none",0.794742205739279,0.0304657973524907,2.99488612956285e-05
"51",0.324,8,"rake",0.00878107301564386,3.94007411824113e-09,3.92956145465852e-19
"52",0.324,8,"strat",0.00659769688312662,8.67900312507137e-10,1.43334385952516e-20
"53",0.324,8,"calib",0.966937426079238,0.0169516235726302,1.57154794210898e-05
"54",0.324,8,"lasso",0.917873940058688,0.0128096838609093,7.22962728427732e-06
"55",0.324,8,"logit",0.00109840030446875,8.01998699545514e-11,2.50301290493595e-21
"56",0.324,8,"bart",0.00076258458274561,9.85760659394789e-12,1.81699688983308e-23
"57",0.324,9,"none",0.929944292765389,0.012477781585927,7.1643952054194e-06
"58",0.324,9,"rake",0.00415826243068922,0.770201944782842,0.00107054646493339
"59",0.324,9,"strat",0.000993772580130304,0.925009419828969,0.00400185437938211
"60",0.324,9,"calib",3.84630612746854e-11,9.01349585542285e-19,8.43644435163004e-26
"61",0.324,9,"lasso",0.934077146238808,0.0128786856133702,6.18652170717036e-06
"62",0.324,9,"logit",0.229545382487271,1.11801655622397e-06,5.90734598828585e-17
