"","prop_sampled","sim_num","method","(Intercept)","age","Error age","Error Intercept"
"1",0.02,1,"none",1873966.41331615,-5839.87895539942,-523.782837899845,38923.177592441
"2",0.02,1,"rake",1898246.08377232,-6199.91476500753,-883.818647507956,63202.8480486183
"3",0.02,1,"strat",1845771.35790177,-5397.12599678244,-81.0298792828607,10728.1221780663
"4",0.02,1,"calib",1921745.54690881,-6626.56919668092,-1310.47307918134,86702.3111851017
"5",0.02,1,"lasso",1889703.69483851,-6051.51466517862,-735.418547679045,54660.4591148002
"6",0.02,1,"logit",1841573.18064292,-5317.75911119602,-1.66299369643912,6529.94491921901
"7",0.02,1,"bart",1853247.74017278,-5491.66684155091,-175.570724051327,18204.5044490714
"8",0.02,2,"none",1875850.32084379,-5843.87275785344,-527.776640353865,40807.0851200833
"9",0.02,2,"rake",1872584.9009162,-5815.81828103808,-499.722163538497,37541.6651924965
"10",0.02,2,"strat",1885428.44660387,-6005.45000221161,-689.353884712033,50385.2108801624
"11",0.02,2,"calib",1651641.86556273,-2363.69909957683,2952.39701792275,-183401.370160977
"12",0.02,2,"lasso",1874068.38669053,-5845.49455518583,-529.398437686253,39025.150966825
"13",0.02,2,"logit",1866713.54985917,-5800.68719158551,-484.591074085934,31670.3141354627
"14",0.02,2,"bart",1857190.80467404,-5563.75541131205,-247.65929381247,22147.5689503315
"15",0.02,3,"none",1906593.02855387,-6319.95889780608,-1003.8627803065,71549.7928301652
"16",0.02,3,"rake",1879860.28188137,-5928.0272032646,-611.931085765017,44817.0461576597
"17",0.02,3,"strat",1852406.49107142,-5556.13752970928,-240.041412209702,17363.2553477138
"18",0.02,3,"calib",1896565.87494378,-6145.2260326698,-829.129915170223,61522.6392200727
"19",0.02,3,"lasso",1908349.20774907,-6325.36459531774,-1009.26847781816,73305.972025363
"20",0.02,3,"logit",1918457.50910318,-6477.78790532473,-1161.69178782516,83414.2733794719
"21",0.02,3,"bart",1812875.48449803,-4939.34104000625,376.755077493325,-22167.7512256801
"22",0.02,4,"none",1869164.83806651,-5689.36435998665,-373.268242487073,34121.6023428019
"23",0.02,4,"rake",1838238.93617892,-5321.50285645145,-5.40673895186865,3195.70045521483
"24",0.02,4,"strat",1866052.7128467,-5647.24236696305,-331.146249463472,31009.4771229974
"25",0.02,4,"calib",1870190.79575999,-5691.64397253436,-375.547855034781,35147.5600362809
"26",0.02,4,"lasso",1868342.04958052,-5662.77586322043,-346.67974572085,33298.8138568136
"27",0.02,4,"logit",1851884.3540258,-5455.06458455434,-138.968467054759,16841.1183020943
"28",0.02,4,"bart",1832910.9966731,-5118.50196628791,197.594151211672,-2132.2390506079
"29",0.02,5,"none",1867989.27646661,-5765.06782836773,-448.971710868146,32946.0407429056
"30",0.02,5,"rake",1871059.40568563,-5786.06253219975,-469.966414700171,36016.1699619221
"31",0.02,5,"strat",1839481.3646785,-5315.03402410584,1.06209339373618,4438.12895479146
"32",0.02,5,"calib",1858639.37903989,-5603.91201146724,-287.81589396766,23596.143316179
