"","prop_sampled","sim_num","method","(Intercept)","age"
"1",0.05,1,"none",0,1.17268455500629e-84
"2",0.05,1,"rake",0,6.65168071645571e-105
"3",0.05,1,"strat",0,1.84798706260744e-98
"4",0.05,1,"calib",0,1.26204937202495e-142
"5",0.05,1,"lasso",0,3.25411243219962e-91
"6",0.05,1,"logit",0,4.68589726891964e-125
"7",0.05,1,"bart",0,2.86803429702553e-107
"8",0.05,2,"none",0,4.19978650860755e-82
"9",0.05,2,"rake",0,2.49722392243456e-98
"10",0.05,2,"strat",0,1.97879869708203e-103
"11",0.05,2,"calib",0,3.09523466415775e-63
"12",0.05,2,"lasso",0,3.88025413657128e-67
"13",0.05,2,"logit",0,4.72296460578148e-161
"14",0.05,2,"bart",0,2.31530661622763e-128
"15",0.05,3,"none",0,4.31683665642101e-75
"16",0.05,3,"rake",0,5.59577682499953e-76
"17",0.05,3,"strat",0,3.48315677880577e-94
"18",0.05,3,"calib",0,1.92230818507863e-50
"19",0.05,3,"lasso",0,1.94942177755494e-66
"20",0.05,3,"logit",0,9.28353052999247e-69
"21",0.05,3,"bart",0,3.97044295276452e-100
"22",0.05,4,"none",0,1.23867008963641e-67
"23",0.05,4,"rake",0,5.09876383740357e-88
"24",0.05,4,"strat",0,4.14604322234892e-91
"25",0.05,4,"calib",0,9.93185612766183e-120
"26",0.05,4,"lasso",0,1.0283977532253e-63
"27",0.05,4,"logit",0,1.93026777771203e-69
"28",0.05,4,"bart",0,3.31627896578596e-93
"29",0.05,5,"none",0,8.0296115931946e-81
"30",0.05,5,"rake",0,2.28634710413478e-101
"31",0.05,5,"strat",0,1.96057774821619e-96
"32",0.05,5,"calib",0,1.84302652292854e-109
"33",0.05,5,"lasso",0,1.6011571215621e-76
"34",0.05,5,"logit",0,6.3569126869475e-107
"35",0.05,5,"bart",0,4.6257672182429e-108
"36",0.05,6,"none",0,1.99382424300121e-62
"37",0.05,6,"rake",0,7.07541540032888e-60
"38",0.05,6,"strat",0,1.44424919156028e-60
"39",0.05,6,"calib",0,1.14792626953772e-78
"40",0.05,6,"lasso",0,8.25196153171498e-60
"41",0.05,6,"logit",0,3.21289365386272e-47
"42",0.05,6,"bart",0,2.85645666453214e-67
"43",0.05,7,"none",0,4.15939985585326e-71
"44",0.05,7,"rake",0,1.90284627742647e-88
"45",0.05,7,"strat",0,6.06465809710051e-89
"46",0.05,7,"calib",0,8.46433452664748e-93
"47",0.05,7,"lasso",0,2.17188356837417e-70
"48",0.05,7,"logit",0,2.25300361883812e-81
"49",0.05,7,"bart",0,1.47988635556731e-104
"50",0.05,8,"none",0,1.31609229262742e-78
"51",0.05,8,"rake",0,6.66991065463808e-88
"52",0.05,8,"strat",0,4.70514526901068e-99
"53",0.05,8,"calib",0,3.076980901545e-138
"54",0.05,8,"lasso",0,4.37239014463068e-82
"55",0.05,8,"logit",0,1.03513639742865e-83
"56",0.05,8,"bart",0,8.22749830592107e-106
"57",0.05,9,"none",0,6.24300680639698e-75
"58",0.05,9,"rake",0,8.06147311020391e-92
"59",0.05,9,"strat",0,5.23811445145121e-90
"60",0.05,9,"calib",0,4.3294966889876e-71
"61",0.05,9,"lasso",0,8.19282163194149e-89
"62",0.05,9,"logit",0,4.12342002503364e-112
"63",0.05,9,"bart",0,1.59418263138781e-86
"64",0.05,10,"none",0,1.71178414943736e-68
"65",0.05,10,"rake",0,4.48778859852058e-80
"66",0.05,10,"strat",0,9.96539676601925e-64
"67",0.05,10,"calib",0,2.34774266516671e-112
"68",0.05,10,"lasso",0,3.84224416530662e-73
"69",0.05,10,"logit",0,9.62176497523115e-69
"70",0.05,10,"bart",0,1.76288792575171e-70
"71",0.05,11,"none",0,7.79906125205511e-80
"72",0.05,11,"rake",0,4.12321124158531e-86
"73",0.05,11,"strat",0,1.21797148538102e-94
"74",0.05,11,"calib",0,7.99415197328301e-77
"75",0.05,11,"lasso",0,6.2434096506033e-85
"76",0.05,11,"logit",0,3.31028136481047e-72
"77",0.05,11,"bart",0,4.0020670776478e-104
"78",0.05,12,"none",0,1.76040561226483e-55
"79",0.05,12,"rake",0,1.71484838836459e-65
"80",0.05,12,"strat",0,6.96787761415184e-60
"81",0.05,12,"calib",0,9.93773636786249e-98
"82",0.05,12,"lasso",0,2.3182494073491e-63
"83",0.05,12,"logit",0,1.17010172440331e-63
"84",0.05,12,"bart",0,6.08896671391281e-53
"85",0.05,13,"none",0,1.58341110228795e-78
"86",0.05,13,"rake",0,1.3084795188784e-88
"87",0.05,13,"strat",0,3.84807528372773e-94
"88",0.05,13,"calib",0,3.92664979507817e-85
"89",0.05,13,"lasso",0,2.24129690758359e-90
"90",0.05,13,"logit",0,1.29280282661109e-76
"91",0.05,13,"bart",0,2.08541731462936e-99
"92",0.05,14,"none",0,1.51640486582857e-75
"93",0.05,14,"rake",0,4.5732080212005e-97
"94",0.05,14,"strat",0,4.00038647511787e-104
"95",0.05,14,"calib",0,8.81209247376944e-83
"96",0.05,14,"lasso",0,1.20180153192548e-88
"97",0.05,14,"logit",0,7.32357966321473e-94
"98",0.05,14,"bart",0,3.50490509481053e-104
"99",0.05,15,"none",0,4.36461451165285e-83
"100",0.05,15,"rake",0,6.84731109882722e-99
"101",0.05,15,"strat",0,1.18610921146697e-105
"102",0.05,15,"calib",0,1.10045884521244e-95
"103",0.05,15,"lasso",0,4.42779832923967e-84
"104",0.05,15,"logit",0,4.78698598483085e-102
"105",0.05,15,"bart",0,3.61443229734484e-98
"106",0.05,16,"none",0,2.52624339433469e-63
"107",0.05,16,"rake",0,1.69570357828181e-58
"108",0.05,16,"strat",0,2.15061811715441e-62
"109",0.05,16,"calib",0,3.06953946598469e-86
"110",0.05,16,"lasso",0,1.08040935816043e-64
"111",0.05,16,"logit",0,6.15260054027697e-54
"112",0.05,16,"bart",0,7.67562475313928e-67
"113",0.05,17,"none",0,1.02926654358087e-79
"114",0.05,17,"rake",0,1.29886469579212e-104
"115",0.05,17,"strat",0,4.99157756017904e-101
"116",0.05,17,"calib",0,1.47526460643888e-94
"117",0.05,17,"lasso",0,7.03772556803624e-80
"118",0.05,17,"logit",0,2.55406320924738e-104
"119",0.05,17,"bart",0,3.88554209732065e-102
"120",0.05,18,"none",0,3.70038882343564e-85
"121",0.05,18,"rake",0,6.52196903427569e-112
"122",0.05,18,"strat",0,4.15197635566011e-117
"123",0.05,18,"calib",0,1.79384415653207e-89
"124",0.05,18,"lasso",0,2.68040469934381e-88
"125",0.05,18,"logit",0,2.00186259076361e-94
"126",0.05,18,"bart",0,1.25945852154865e-114
"127",0.05,19,"none",0,6.97798475866843e-69
"128",0.05,19,"rake",0,2.45850005678709e-91
"129",0.05,19,"strat",0,2.38524426061811e-75
"130",0.05,19,"calib",0,2.15249952519853e-43
"131",0.05,19,"lasso",0,1.53562981603274e-93
"132",0.05,19,"logit",0,5.76079347057766e-81
"133",0.05,19,"bart",0,7.8926837708788e-72
"134",0.05,20,"none",0,1.52142881271234e-83
"135",0.05,20,"rake",0,5.97339397382657e-100
"136",0.05,20,"strat",0,2.60434257816754e-95
"137",0.05,20,"calib",0,8.84190323369379e-72
"138",0.05,20,"lasso",0,3.22786430514171e-83
"139",0.05,20,"logit",0,1.16527358206174e-66
"140",0.05,20,"bart",0,4.99028181195521e-99
"141",0.05,21,"none",0,8.97554566301422e-86
"142",0.05,21,"rake",0,3.80756038080624e-104
"143",0.05,21,"strat",0,5.69664346200887e-96
"144",0.05,21,"calib",0,3.1885443334946e-101
"145",0.05,21,"lasso",0,5.25609177064105e-98
"146",0.05,21,"logit",0,1.27702294734163e-96
"147",0.05,21,"bart",0,3.18372233215684e-103
"148",0.05,22,"none",0,3.88398944989828e-68
"149",0.05,22,"rake",0,9.19509677945171e-80
"150",0.05,22,"strat",0,2.78078535334481e-77
"151",0.05,22,"calib",0,1.01058100689551e-106
"152",0.05,22,"lasso",0,1.1899081088229e-66
"153",0.05,22,"logit",0,5.06909092811809e-80
"154",0.05,22,"bart",0,1.51227298556791e-81
"155",0.05,23,"none",0,2.77805166112307e-73
"156",0.05,23,"rake",0,1.47456057770539e-75
"157",0.05,23,"strat",0,3.98089046193357e-84
"158",0.05,23,"calib",0,3.15222589673236e-50
"159",0.05,23,"lasso",0,1.07647786940066e-84
"160",0.05,23,"logit",0,4.9833410578041e-83
"161",0.05,23,"bart",0,8.51709703457908e-92
"162",0.05,24,"none",0,7.48476932292865e-74
"163",0.05,24,"rake",0,1.9806368367841e-93
"164",0.05,24,"strat",0,1.99392369580552e-91
"165",0.05,24,"calib",0,7.81097186566182e-118
"166",0.05,24,"lasso",0,2.52485799158887e-80
"167",0.05,24,"logit",0,1.17317924799042e-99
"168",0.05,24,"bart",0,7.6702298259455e-91
"169",0.05,25,"none",0,2.16092444986583e-80
"170",0.05,25,"rake",0,7.80598348720203e-84
"171",0.05,25,"strat",0,1.34898255681199e-81
"172",0.05,25,"calib",0,1.49361650551135e-40
"173",0.05,25,"lasso",0,2.12362854446362e-83
"174",0.05,25,"logit",0,4.87272206584323e-77
