"","prop_sampled","sim_num","method","(Intercept)","age","age_sq"
"1",0.136,1,"none",0.0431450349321713,0.787504315432974,0.0191300399558835
"2",0.136,1,"rake",0.0107177245143298,0.722144049798811,0.0762150835719838
"3",0.136,1,"strat",0.0287374162996594,0.927547307777264,0.0239806595756298
"4",0.136,1,"calib",0.394779221013941,0.0972659655879485,0.000188104971915604
"5",0.136,1,"lasso",0.0117905413677399,0.91703408018562,0.0331175122405891
"6",0.136,1,"logit",0.00279486910841765,0.55626180209323,0.0841517010748461
"7",0.136,1,"bart",0.066490773980046,0.603422449737549,0.00614156757463825
"8",0.136,2,"none",0.65554661204862,0.0545216366404542,5.17405510404301e-05
"9",0.136,2,"rake",0.0681517234000087,0.676731840727898,0.00971572877178216
"10",0.136,2,"strat",0.0299436261936471,0.855128493434634,0.0156429116911713
"11",0.136,2,"calib",0.0605158516905917,0.955383169078817,0.0761917678595795
"12",0.136,2,"lasso",0.110486414243445,0.490499781193421,0.00464466154944384
"13",0.136,2,"logit",0.00902330358029956,0.737819857572908,0.0652399024263754
"14",0.136,2,"bart",0.0259025199635185,0.856789234569938,0.0139053730171567
"15",0.136,3,"none",0.577348991646349,0.00464744605428588,1.36145507852218e-06
"16",0.136,3,"rake",0.278274175487281,0.000638316983548211,1.98376881689217e-08
"17",0.136,3,"strat",0.140691889327031,0.00011111804330212,1.20111833946594e-09
"18",0.136,3,"calib",0.0688718982349684,0.578532423454397,0.0100638078527875
"19",0.136,3,"lasso",0.158938670073912,0.000128437820690659,1.26541452975481e-09
"20",0.136,3,"logit",0.61744354581673,0.00643350311142362,1.73107052437855e-06
"21",0.136,3,"bart",0.265053256087996,0.000405567066182994,7.97247773876327e-09
"22",0.136,4,"none",0.703504324857926,0.0794077108502386,0.000243796645688321
"23",0.136,4,"rake",0.863613552204577,0.0459275136584768,4.43368176973109e-05
"24",0.136,4,"strat",0.976901816628538,0.0289195563407187,1.94342578181738e-05
"25",0.136,4,"calib",0.00999336090930268,0.449138634734354,0.425497625938502
"26",0.136,4,"lasso",0.640671461398756,0.0753817279053624,9.32512756763059e-05
"27",0.136,4,"logit",0.902864877388057,0.0446853563363879,5.63410600394641e-05
"28",0.136,4,"bart",0.827716044930244,0.0200163861415951,2.26151254639346e-05
"29",0.136,5,"none",0.446566103225431,0.120724144078258,0.000293904629810401
"30",0.136,5,"rake",0.0666683721061802,0.674890717739845,0.0094564172887745
