"","prop_sampled","sim_num","method","(Intercept)","age_sq"
"1",0.057,1,"none",1.57031408695304e-51,8.39578024063742e-34
"2",0.057,1,"rake",1.57031408695304e-51,8.39578024063742e-34
"3",0.057,1,"strat",9.24802207315515e-54,4.10284175522186e-39
"4",0.057,1,"calib",2.51645540279884e-69,1.35075176257294e-58
"5",0.057,1,"lasso",1.05285868877655e-63,1.51665787214694e-47
"6",0.057,1,"logit",6.42052329261334e-71,7.29608892820529e-62
"7",0.057,1,"bart",1.21291153851393e-34,7.07146373532751e-22
"8",0.057,2,"none",1.6298286249651e-55,8.45789469749034e-39
"9",0.057,2,"rake",1.6298286249651e-55,8.45789469749034e-39
"10",0.057,2,"strat",4.58250215941061e-73,3.15376634153901e-72
"11",0.057,2,"calib",4.88975227182264e-93,2.27255764304239e-78
"12",0.057,2,"lasso",4.3218445179941e-53,3.47173349963842e-41
"13",0.057,2,"logit",6.20658529142238e-63,6.10180982714066e-60
"14",0.057,2,"bart",6.25911193069281e-67,4.97029098086085e-64
"15",0.057,3,"none",9.60512431367447e-55,4.29864363239889e-35
"16",0.057,3,"rake",9.60512431367447e-55,4.29864363239889e-35
"17",0.057,3,"strat",5.13722067788176e-62,8.99006022644154e-49
"18",0.057,3,"calib",1.97069008774758e-62,3.47024995448815e-50
"19",0.057,3,"lasso",1.32655664745391e-95,1.40817491812793e-75
"20",0.057,3,"logit",2.75642440888264e-75,1.82809657817014e-69
"21",0.057,3,"bart",2.01180442679989e-43,1.10294933170657e-29
"22",0.057,4,"none",1.95123258470246e-61,1.94815765811713e-40
"23",0.057,4,"rake",1.95123258470246e-61,1.94815765811713e-40
"24",0.057,4,"strat",7.34531922470343e-52,2.83229982476607e-38
"25",0.057,4,"calib",1.40649146693828e-64,2.28903292048854e-34
"26",0.057,4,"lasso",1.1600269038612e-38,3.10952919089895e-29
"27",0.057,4,"logit",2.57922864338289e-40,8.43292118588216e-30
"28",0.057,4,"bart",9.7836823874854e-71,8.38983869595168e-62
"29",0.057,5,"none",3.36207848407222e-46,7.52589852378599e-28
"30",0.057,5,"rake",3.36207848407222e-46,7.52589852378599e-28
"31",0.057,5,"strat",5.71035775168817e-51,5.30083522923018e-39
"32",0.057,5,"calib",1.06946296800112e-91,4.03167372546801e-64
"33",0.057,5,"lasso",7.36232936490473e-51,2.06866152502507e-36
"34",0.057,5,"logit",3.70886556419297e-48,4.35047936453681e-38
"35",0.057,5,"bart",2.52539921856236e-38,1.87253618023364e-24
"36",0.057,6,"none",4.81336085502504e-57,1.60776713106839e-37
"37",0.057,6,"rake",4.81336085502504e-57,1.60776713106839e-37
"38",0.057,6,"strat",7.2926804034373e-105,4.58563617774367e-102
"39",0.057,6,"calib",4.01021830723447e-84,1.04306607451213e-71
"40",0.057,6,"lasso",1.1740379393898e-56,8.22851637973656e-39
"41",0.057,6,"logit",5.9264823562518e-72,2.03280393555618e-62
"42",0.057,6,"bart",4.63602907305856e-100,2.23326610199595e-93
"43",0.057,7,"none",5.60671276407914e-65,5.66722954330692e-46
"44",0.057,7,"rake",5.60671276407914e-65,5.66722954330692e-46
"45",0.057,7,"strat",5.93124763010864e-95,8.86989128327852e-97
"46",0.057,7,"calib",3.49718134483976e-43,3.65025661182922e-33
"47",0.057,7,"lasso",9.76379026914856e-78,4.40185961186463e-62
"48",0.057,7,"logit",1.37504433152558e-74,2.16164366052836e-71
"49",0.057,7,"bart",1.89813631757037e-116,1.02731532233076e-123
"50",0.057,8,"none",3.24752851335626e-58,3.12930752601647e-39
"51",0.057,8,"rake",3.24752851335626e-58,3.12930752601647e-39
"52",0.057,8,"strat",2.78780359673807e-72,5.86285536081034e-64
"53",0.057,8,"calib",3.27078483114453e-59,5.72846831001119e-51
"54",0.057,8,"lasso",3.24337383437626e-49,1.67783592863346e-37
"55",0.057,8,"logit",4.33887505005017e-61,2.45686730377069e-51
"56",0.057,8,"bart",2.0840886060351e-78,2.67939149826835e-71
"57",0.057,9,"none",4.77146044539331e-58,3.04956979687045e-40
"58",0.057,9,"rake",4.77146044539331e-58,3.04956979687045e-40
"59",0.057,9,"strat",3.9541736965386e-69,9.11268339209311e-64
"60",0.057,9,"calib",1.16842081859899e-42,5.80950408877617e-28
"61",0.057,9,"lasso",8.05814463196744e-72,4.56598416880316e-61
"62",0.057,9,"logit",8.41253611487765e-68,1.97753868940562e-64
"63",0.057,9,"bart",1.87120895674868e-75,3.60625815157251e-70
"64",0.057,10,"none",3.45650956972995e-50,2.31162717849433e-32
"65",0.057,10,"rake",3.45650956972995e-50,2.31162717849433e-32
"66",0.057,10,"strat",1.51047195657385e-71,2.8800480273752e-62
"67",0.057,10,"calib",2.70412890214788e-55,1.73274091181833e-42
"68",0.057,10,"lasso",3.20400512399921e-51,2.20670934091296e-34
"69",0.057,10,"logit",3.12426922529995e-46,2.10745264943985e-35
"70",0.057,10,"bart",4.52985062703746e-66,9.81881988470388e-55
"71",0.057,11,"none",4.92230275352919e-55,1.70293331410171e-36
"72",0.057,11,"rake",4.92230275352919e-55,1.70293331410171e-36
"73",0.057,11,"strat",8.51684203818782e-69,1.26018980662641e-61
"74",0.057,11,"calib",1.34860813917677e-56,4.2532384439105e-50
"75",0.057,11,"lasso",1.68105083618542e-47,1.18609249260299e-33
"76",0.057,11,"logit",1.46303807399459e-58,1.89125852220273e-48
"77",0.057,11,"bart",1.17411596716723e-74,1.86016667077688e-67
"78",0.057,12,"none",6.38259029002516e-49,2.35611967534335e-31
"79",0.057,12,"rake",6.38259029002516e-49,2.35611967534335e-31
"80",0.057,12,"strat",1.10466327461088e-80,1.00129216781715e-74
"81",0.057,12,"calib",3.06914671088955e-28,1.48217032853501e-14
"82",0.057,12,"lasso",2.8683857699146e-53,1.44845085005324e-41
"83",0.057,12,"logit",3.15990183878438e-43,6.00110962876253e-34
"84",0.057,12,"bart",6.9071278180814e-89,1.10698268336945e-81
"85",0.057,13,"none",8.17957189406973e-60,1.45489959256309e-42
"86",0.057,13,"rake",8.17957189406973e-60,1.45489959256309e-42
